iter	Passed	Remaining
971	89300	2572
972	89378	2480
973	89451	2387
974	89538	2295
975	89617	2203
976	89691	2111
977	89765	2019
978	89846	1927
979	89917	1835
980	90006	1743
981	90119	1651
982	90225	1560
983	90338	1468
984	90435	1377
985	90511	1285
986	90595	1193
987	90673	1101
988	90744	1009
989	90824	917
990	90905	825
991	90979	733
992	91068	641
993	91146	550
994	91227	458
995	91302	366
996	91378	274
997	91452	183
998	91529	91
999	91611	0
